,TRASCONTINENTAL,,,,,,,,,,,
,CARTA DE CREDITO / BCO. SCOTIABANK,,,,,,,,,,SE ADICIONO POLIZS,
,VP. TORRENS   LLEGO :  09.05.12,,,,,,PEDIDO 049-11   09  UNIDADES  FORLAND,,,,,
,B/L  EUKOSHPU1081065,,MFTO.  2011- ,,,,,,,,,
,F/C FT11190PE,10.03.12,,,,,,,,,,
, , ,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
7,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615450   ,TRAVESIAS,,LJ465QR1E1 C03322244 ,ROJO VINO,2012
8,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615464   ,TRAVESIAS,,LJ465QR1E1 C03322241 ,ROJO VINO,2012
9,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615481   ,TRAVESIAS,,LJ465QR1E1 C03322313 ,ROJO VINO,2012
10,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615495   ,TRAVESIAS,,LJ465QR1E1 C03322273 ,ROJO VINO,2012
11,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615500   ,TRAVESIAS,,LJ465QR1E1 C03322370 ,ROJO VINO,2012
12,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615425   ,TRAVESIAS,,LJ465QR1E1 C03322285 ,ROJO VINO,2012
13,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615473   ,TRAVESIAS,,LJ465QR1E1 C03322377 ,ROJO VINO,2012
14,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX552481   ,TRAVESIAS,,LJ465QR1E1 C03322235 ,ROJO VINO,2012
15,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX615451   ,TRAVESIAS,,LJ465QR1E1 C03322333 ,ROJO VINO,2012
16,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX615465   ,TRAVESIAS,,LJ465QR1E1 C03322322 ,ROJO VINO,2012
17,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX552490   ,TRAVESIAS,,LJ465QR1E1 C03322358 ,ROJO VINO,2012
18,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX615409   ,TRAVESIAS,,LJ465QR1E1 C03322376 ,ROJO VINO,2012
19,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX615426   ,TRAVESIAS,,LJ465QR1E1 C03322263 ,ROJO VINO,2012
20,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX615457   ,TRAVESIAS,,LJ465QR1E1 C03322247 ,ROJO VINO,2012
21,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX615491   ,TRAVESIAS,,LJ465QR1E1 C03322286 ,ROJO VINO,2012
22,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX615354   ,TRAVESIAS,,LJ465QR1E1 C03322411 ,ROJO VINO,2012
23,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX615421   ,TRAVESIAS,,LJ465QR1E1 C03322402 ,ROJO VINO,2012
24,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX615435   ,TRAVESIAS,,LJ465QR1E1 C03322250 ,ROJO VINO,2012
25,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX615363   ,TRAVESIAS,,LJ465QR1E1 C03323588 ,ROJO VINO,2012
26,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX615475   ,TRAVESIAS,,LJ465QR1E1 C03322343 ,ROJO VINO,2012
27,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX615492   ,TRAVESIAS,,LJ465QR1E1 C03322204 ,ROJO VINO,2012
